abbreviation,long_form,count,wiki_search_links
WG III,Working Group III,2,[]
TS,Technical Summary,1,['//www.wikidata.org/wiki/Q59447700']
UNFCCC,UN Framework Convention on Climate Change,3,[]
SDGs,Sustainable Development Goals,1,"['//www.wikidata.org/wiki/Q7649586', '//www.wikidata.org/wiki/Q22547988', '//www.wikidata.org/wiki/Q61794491']"
GHG,greenhouse gas,1,"['//www.wikidata.org/wiki/Q167336', '//www.wikidata.org/wiki/Q3588927', '//www.wikidata.org/wiki/Q925312']"
SPM,Summary for Policymakers,3,"['//www.wikidata.org/wiki/Q57831162', '//www.wikidata.org/wiki/Q60363253', '//www.wikidata.org/wiki/Q57023141', '//www.wikidata.org/wiki/Q108146077', '//www.wikidata.org/wiki/Q57001687']"
HFCs,hydrofluorocarbons,2,"['//www.wikidata.org/wiki/Q59100158', '//www.wikidata.org/wiki/Q1031943']"
PFCs,perfluorocarbons,2,['//www.wikidata.org/wiki/Q56989783']
GWP100,Global Warming Potential with a time horizon of 100 years,1,[]
AFOLU,"agriculture, forestry and other land use",3,['//www.wikidata.org/wiki/Q58231661']
LDCs,Least Developed Countries,2,"['//www.wikidata.org/wiki/Q752401', '//www.wikidata.org/wiki/Q177323']"
SIDS,Small Island Developing States,2,"['//www.wikidata.org/wiki/Q1434887', '//www.wikidata.org/wiki/Q58260016', '//www.wikidata.org/wiki/Q56410642']"
EVs,electric vehicles,1,"['//www.wikidata.org/wiki/Q57076275', '//www.wikidata.org/wiki/Q57868935', '//www.wikidata.org/wiki/Q57539419', '//www.wikidata.org/wiki/Q58514673', '//www.wikidata.org/wiki/Q58210671']"
LCOE,levelised costs of energy,4,[]
ESG,"environmental, social and governance",1,['//www.wikidata.org/wiki/Q3817465']
NDCs,nationally determined contributions,4,['//www.wikidata.org/wiki/Q20051297']
