abbreviation,long_form,count,marker,wiki_search_links
DDPP,Deep Decarbonization Pathways Project,4,Chapter 04,['//www.wikidata.org/wiki/Q23579853']
MAPS,Mitigation Action Plans and Scenarios,10,Chapter 04,[]
IDDRI,Institute for Sustainable Development and International Relations,2,Chapter 04,['//www.wikidata.org/wiki/Q25381095']
SDSN,"Sustainable
Development
Solutions
Network
",2,Chapter 04,[]
NDCs,nationally determined contributions,144,Chapter 04,['//www.wikidata.org/wiki/Q20051297']
HoSG,Heads of State and Government,3,Chapter 04,['//www.wikidata.org/wiki/Q5689998']
IEA,International Energy Agency,12,Chapter 04,"['//www.wikidata.org/wiki/Q826700', '//www.wikidata.org/wiki/Q48802009']"
SDG,sustainable development goals,9,Chapter 04,"['//www.wikidata.org/wiki/Q7649586', '//www.wikidata.org/wiki/Q22547988', '//www.wikidata.org/wiki/Q30252260', '//www.wikidata.org/wiki/Q104759743', '//www.wikidata.org/wiki/Q111643133', '//www.wikidata.org/wiki/Q109354788', '//www.wikidata.org/wiki/Q104856926']"
DES,"Development, equity and sustainability",1,Chapter 04,[]
CA,conservation agriculture,1,Chapter 04,"['//www.wikidata.org/wiki/Q4439388', '//www.wikidata.org/wiki/Q58175105', '//www.wikidata.org/wiki/Q57579081', '//www.wikidata.org/wiki/Q58077860', '//www.wikidata.org/wiki/Q57579094', '//www.wikidata.org/wiki/Q64452356', '//www.wikidata.org/wiki/Q60550533']"
eds.,"Editio. [Windham-Myers, L., S. Crooks, and T.G. Troxler,",1,Chapter 04,[]
PMR,Partnership for Market Readiness,1,Chapter 04,[]
France,Franck Lecocq,20,Chapter 04,['//www.wikidata.org/wiki/Q58366013']
SDPS,Shifting development pathways to increased sustainability,6,Chapter 04,[]
GWPs,global warming potentials,5,Chapter 04,['//www.wikidata.org/wiki/Q57402965']
BRs,biennial reports,1,Chapter 04,['//www.wikidata.org/wiki/Q66306895']
BURs,biennial update reports,1,Chapter 04,[]
BTRs,biennial transparency reports,1,Chapter 04,[]
ICIs,international cooperative initiatives,4,Chapter 04,[]
SEAD,Super-efficient Equipment Appliance Deployment,1,Chapter 04,[]
LCTPi,Low Carbon Technology Partnerships,4,Chapter 04,[]
LEDS,low-emissions development strategies,2,Chapter 04,[]
CCS,carbon capture and sequestration,23,Chapter 04,"['//www.wikidata.org/wiki/Q59595408', '//www.wikidata.org/wiki/Q59599221', '//www.wikidata.org/wiki/Q59597782', '//www.wikidata.org/wiki/Q59638196']"
CDR,carbon dioxide removal,3,Chapter 04,"['//www.wikidata.org/wiki/Q56298528', '//www.wikidata.org/wiki/Q59296188', '//www.wikidata.org/wiki/Q59411018']"
HFC,hydrofluorocarbon,2,Chapter 04,"['//www.wikidata.org/wiki/Q1031943', '//www.wikidata.org/wiki/Q59100158']"
GWP,global warming potential,6,Chapter 04,"['//www.wikidata.org/wiki/Q901028', '//www.wikidata.org/wiki/Q57084968', '//www.wikidata.org/wiki/Q57084755', '//www.wikidata.org/wiki/Q57084921', '//www.wikidata.org/wiki/Q57084776', '//www.wikidata.org/wiki/Q57402965']"
