,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38090795
source,MED
pmid,38090795
pmcid,PMC10753415
fullTextIdList,"OrderedDict([('fullTextId', 'PMC10753415')])"
doi,10.2196/50797
title,Transformation and Articulation of Clinical Data to Understand Students' and Health Professionals' Clinical Reasoning: Protocol for a Scoping Review.
authorString,"Deschênes MF, Fernandez N, Lechasseur K, Caty MÈ, Azimzadeh D, Mai TC, Lavoie P."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'Deschênes MF'), ('firstName', 'Marie-France'), ('lastName', 'Deschênes'), ('initials', 'MF'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-7949-4466')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculté des sciences infirmières, Université de Montréal, Montréal, QC, Canada.')]))]))]), OrderedDict([('fullName', 'Fernandez N'), ('firstName', 'Nicolas'), ('lastName', 'Fernandez'), ('initials', 'N'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3840-2641')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculté de Médecine, Université de Montréal, Montréal, QC, Canada.')]))]))]), OrderedDict([('fullName', 'Lechasseur K'), ('firstName', 'Kathleen'), ('lastName', 'Lechasseur'), ('initials', 'K'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-1906-5870')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculté des sciences infirmières, Université Laval, Québec, QC, Canada.')]))]))]), OrderedDict([('fullName', 'Caty MÈ'), ('firstName', 'Marie-Ève'), ('lastName', 'Caty'), ('initials', 'MÈ'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0003-3909-6639')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', ""Département d'orthophonie, Université du Québec à Trois-Rivières, Trois-Rivières, QC, Canada."")]))]))]), OrderedDict([('fullName', 'Azimzadeh D'), ('firstName', 'Dina'), ('lastName', 'Azimzadeh'), ('initials', 'D'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0009-0008-2434-8411')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculté des sciences infirmières, Université de Montréal, Montréal, QC, Canada.')]))]))]), OrderedDict([('fullName', 'Mai TC'), ('firstName', 'Tue-Chieu'), ('lastName', 'Mai'), ('initials', 'TC'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0009-0002-7188-423X')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculté des sciences infirmières, Université de Montréal, Montréal, QC, Canada.')]))]))]), OrderedDict([('fullName', 'Lavoie P'), ('firstName', 'Patrick'), ('lastName', 'Lavoie'), ('initials', 'P'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-8244-6484')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Faculté des sciences infirmières, Université de Montréal, Montreal, QC, QC, Canada.')]))]))])])])"
authorIdList,"OrderedDict([('authorId', [OrderedDict([('@type', 'ORCID'), ('#text', '0000-0001-8244-6484')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-1906-5870')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3840-2641')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-7949-4466')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0003-3909-6639')]), OrderedDict([('@type', 'ORCID'), ('#text', '0009-0002-7188-423X')]), OrderedDict([('@type', 'ORCID'), ('#text', '0009-0008-2434-8411')])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'altmetrics')])"
journalInfo,"OrderedDict([('volume', '12'), ('journalIssueId', '3672143'), ('dateOfPublication', '2023 Dec'), ('monthOfPublication', '12'), ('yearOfPublication', '2023'), ('printPublicationDate', '2023-12-01'), ('journal', OrderedDict([('title', 'JMIR research protocols'), ('ISOAbbreviation', 'JMIR Res Protoc'), ('medlineAbbreviation', 'JMIR Res Protoc'), ('NLMid', '101599504'), ('ISSN', '1929-0748'), ('ESSN', '1929-0748')]))])"
pubYear,2023
pageInfo,e50797
