anchor,a_text,target,t_text
1_5°c_warmer_worlds,"Projected  worlds in which  global warming  has reached and, unless otherwise indicated, been limite",1_5°c_warmer_worlds,"  1.5°C warmer worlds  Projected  worlds in which  global warming  has reached and, unless otherwise"
2030_agenda_for_sustainable_development,"A UN resolution in September 2015 adopting a plan of action for people, planet and prosperity in a n",2030_agenda_for_sustainable_development,  2030 Agenda for Sustainable Development  A UN resolution in September 2015 adopting a plan of acti
acceptability_of_policy_or_system_change,"The extent to which a policy or system change is evaluated unfavourably or favourably, or rejected o",acceptability_of_policy_or_system_change,  Acceptability of policy or system change  The extent to which a policy or system change is evaluat
adaptability,See  Adaptive capacity .,adaptability,  Adaptability  See  Adaptive capacity .
adaptation,"In  human systems , the process of adjustment to actual or expected  climate  and its effects, in or",adaptation,"  Adaptation  In  human systems , the process of adjustment to actual or expected  climate  and its "
adaptation_behaviour,See  Human behaviour .,adaptation_behaviour,  Adaptation behaviour  See  Human behaviour .
adaptation_limits,See  Adaptation .,adaptation_limits,  Adaptation limits   See  Adaptation .
adaptation_options,The array of strategies and measures that are available and appropriate for addressing  adaptation .,adaptation_options,  Adaptation options  The array of strategies and measures that are available and appropriate for ad
adaptation_pathways,See  Pathways .,adaptation_pathways,  Adaptation pathways  See  Pathways .
adaptive_capacity,"The ability of systems,  institutions , humans and other organisms to adjust to potential damage, to",adaptive_capacity,"  Adaptive capacity  The ability of systems,  institutions , humans and other organisms to adjust to"
adaptive_governance,See  Governance .,adaptive_governance,  Adaptive governance  See  Governance .
aerosol,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and",aerosol,"  Aerosol  A suspension of airborne solid or liquid particles, with a typical size between a few nan"
afforestation,Planting of new  forests  on lands that historically have not contained forests. For a discussion of,afforestation,  Afforestation  Planting of new  forests  on lands that historically have not contained forests. Fo
agreement,"In this report, the degree of agreement within the scientific body of knowledge on a particular find",agreement,"  Agreement  In this report, the degree of agreement within the scientific body of knowledge on a pa"
air_pollution,Degradation of air quality with negative effects on human health or the natural or built environment,air_pollution,  Air pollution  Degradation of air quality with negative effects on human health or the natural or 
albedo,"The fraction of solar radiation reflected by a surface or object, often expressed as a percentage. S",albedo,"  Albedo  The fraction of solar radiation reflected by a surface or object, often expressed as a per"
anomaly,The deviation of a variable from its value averaged over a  reference period .,anomaly,  Anomaly  The deviation of a variable from its value averaged over a  reference period .
anthropocene,The ‘Anthropocene’ is a proposed new geological epoch resulting from significant human-driven change,anthropocene,  Anthropocene  The ‘Anthropocene’ is a proposed new geological epoch resulting from significant hum
anthropogenic,Resulting from or produced by human activities. See also  Anthropogenic emissions  and  Anthropogeni,anthropogenic,  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions  
anthropogenic_emissions,"Emissions of  greenhouse gases (GHGs) ,  precursors  of GHGs and aerosols caused by human activities",anthropogenic_emissions,"  Anthropogenic emissions  Emissions of  greenhouse gases (GHGs) ,  precursors  of GHGs and aerosols"
anthropogenic_removals,Anthropogenic removals refer to the withdrawal of  GHGs  from the  atmosphere  as a result of delibe,anthropogenic_removals,  Anthropogenic removals  Anthropogenic removals refer to the withdrawal of  GHGs  from the  atmosph
artificial_intelligence__ai_,"Computer systems able to perform tasks normally requiring human intelligence, such as visual percept",artificial_intelligence__ai_,  Artificial intelligence (AI)  Computer systems able to perform tasks normally requiring human inte
atmosphere,"The gaseous envelope surrounding the earth, divided into five layers – the  troposphere  which conta",atmosphere,"  Atmosphere  The gaseous envelope surrounding the earth, divided into five layers – the  tropospher"
atmosphere–ocean_general_circulation_model__aogcm_,See  Climate model .,atmosphere–ocean_general_circulation_model__aogcm_,  Atmosphere–ocean general circulation model (AOGCM)  See  Climate model .
attribution,See  Detection and attribution .,attribution,  Attribution  See  Detection and attribution .
baseline_scenario,In much of the literature the term is also usual in century-long socio-economic  projections  is har,baseline_scenario,  Baseline scenario  In much of the literature the term is also usual in century-long socio-economic
battery_electric_vehicle__bev_,See  Electric vehicle (EV) .,battery_electric_vehicle__bev_,  Battery electric vehicle (BEV)  See  Electric vehicle (EV) .
biochar,"Stable, carbon-rich material produced by heating  biomass  in an oxygen-limited environment. Biochar",biochar,"  Biochar  Stable, carbon-rich material produced by heating  biomass  in an oxygen-limited environme"
biodiversity,"Biological diversity means the variability among living organisms from all sources, including, inter",biodiversity,"  Biodiversity  Biological diversity means the variability among living organisms from all sources, "
bioenergy,Energy derived from any form of  biomass  or its metabolic by-products. See also  Biomass  and  Biof,bioenergy,  Bioenergy  Energy derived from any form of  biomass  or its metabolic by-products. See also  Bioma
bioenergy_with_carbon_dioxide_capture_and_storage__beccs_,Carbon dioxide capture and storage (CCS)  technology applied to a  bioenergy  facility. Note that de,bioenergy_with_carbon_dioxide_capture_and_storage__beccs_,  Bioenergy with carbon dioxide capture and storage (BECCS)  Carbon dioxide capture and storage (CCS
biofuel,"A fuel, generally in liquid form, produced from  biomass . Biofuels currently include bioethanol fro",biofuel,"  Biofuel  A fuel, generally in liquid form, produced from  biomass . Biofuels currently include bio"
biomass,Living or recently dead organic material. See also  Bioenergy  and  Biofuel .,biomass,  Biomass   Living or recently dead organic material. See also  Bioenergy  and  Biofuel .
biophilic_urbanism,"Designing cities with green roofs, green walls and green balconies to bring nature into the densest ",biophilic_urbanism,"  Biophilic urbanism  Designing cities with green roofs, green walls and green balconies to bring na"
black_carbon__bc_,Operationally defined  aerosol  species based on measurement of light absorption and chemical reacti,black_carbon__bc_,  Black carbon (BC)  Operationally defined  aerosol  species based on measurement of light absorptio
blue_carbon,"Blue carbon is the carbon captured by living organisms in coastal (e.g., mangroves, salt marshes, se",blue_carbon,"  Blue carbon  Blue carbon is the carbon captured by living organisms in coastal (e.g., mangroves, s"
burden_sharing__also_referred_to_as_effort_sharing_,In the ,burden_sharing__also_referred_to_as_effort_sharing_,  Burden sharing (also referred to as Effort sharing)   In the 
business_as_usual__bau_,See  Baseline scenario .,business_as_usual__bau_,  Business as usual (BAU)  See  Baseline scenario .
carbon_budget,This term refers to three concepts in the literature: (1) an assessment of  carbon cycle  sources an,carbon_budget,  Carbon budget  This term refers to three concepts in the literature: (1) an assessment of  carbon 
carbon_cycle,"The term used to describe the flow of carbon (in various forms, e.g., as  carbon dioxide (CO 2 ) , c",carbon_cycle,"  Carbon cycle  The term used to describe the flow of carbon (in various forms, e.g., as  carbon dio"
carbon_dioxide__co,"2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fuels  (such as oil, ga",carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
carbon_dioxide_capture_and_storage__ccs_,A process in which a relatively pure stream of  carbon dioxide (CO 2 )  from industrial and energy-r,carbon_dioxide_capture_and_storage__ccs_,  Carbon dioxide capture and storage (CCS)  A process in which a relatively pure stream of  carbon d
carbon_dioxide_capture_and_utilisation__ccu_,A process in which  CO 2 is captured and then used to produce a new product. If the CO 2 is stored i,carbon_dioxide_capture_and_utilisation__ccu_,  Carbon dioxide capture and utilisation (CCU)  A process in which  CO 2 is captured and then used t
carbon_dioxide_capture__utilisation_and_storage__ccus_,See  Carbon dioxide capture and utilisation (CCU) .,carbon_dioxide_capture__utilisation_and_storage__ccus_,"  Carbon dioxide capture, utilisation and storage (CCUS)  See  Carbon dioxide capture and utilisatio"
carbon_dioxide_removal__cdr_,"Anthropogenic  activities removing  CO 2 from the  atmosphere  and durably storing it in geological,",carbon_dioxide_removal__cdr_,  Carbon dioxide removal (CDR)  Anthropogenic  activities removing  CO 2 from the  atmosphere  and d
carbon_intensity,The amount of emissions of  carbon dioxide (CO 2 )  released per unit of another variable such as  g,carbon_intensity,  Carbon intensity  The amount of emissions of  carbon dioxide (CO 2 )  released per unit of another
carbon_price,The price for avoided or released  carbon dioxide (CO 2 )  or  CO 2 -equivalent emissions . This may,carbon_price,  Carbon price  The price for avoided or released  carbon dioxide (CO 2 )  or  CO 2 -equivalent emis
carbon_sequestration,"The process of storing carbon in a carbon pool. See also  Blue carbon ,  Carbon dioxide capture and ",carbon_sequestration,"  Carbon sequestration  The process of storing carbon in a carbon pool. See also  Blue carbon ,  Car"
carbon_sink,See  Sink .,carbon_sink,  Carbon sink  See  Sink .
