anchor,a_text,target,t_text
activity_data,Data on the magnitude of a human  activity  resulting in emissions or removals taking place during a,activity,  Activity  A practice or ensemble of practices that take place on a delineated area over a given pe
adaptation,"In  human systems,  the process of adjustment to actual or expected  climate  and its effects, in or",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
adaptation_options,The array of strategies and measures that are available and appropriate for addressing  adaptation .,adaptation,"  Adaptation  In  human systems,  the process of adjustment to actual or expected  climate  and its "
adaptation_pathways,See  Pathways ,pathways,  Pathways  The temporal evolution of natural and/or  human systems  towards a future state. Pathway
adaptive_governance,See  Governance . ,governance,"  Governance  A comprehensive and inclusive concept of the full range of means for deciding, managin"
adverse_side-effect,"The negative effects that a policy or measure aimed at one objective might have on other objectives,",co-benefits,  Co-benefits  The positive effects that a policy or measure aimed at one objective might have on ot
adverse_side-effect,"The negative effects that a policy or measure aimed at one objective might have on other objectives,",risk,"  Risk  The potential for adverse consequences for human or ecological systems, recognising the dive"
aerosol,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
aerosol,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and",anthropogenic,"  Anthropogenic  Resulting from or produced by human activities. See also  Anthropogenic emissions, "
aerosol,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and",climate,"  Climate  Climate in a narrow sense is usually defined as the average weather, or more rigorously, "
aerosol,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and",precursors,"  Precursors  Atmospheric compounds that are not  greenhouse gases (GHGs)  or  aerosols , but that h"
afforestation,Conversion to  forest  of land that historically has not contained forests. [Note: For a discussion ,forest,  Forest  A vegetation type dominated by trees. Many definitions of the term forest are in use throu
afforestation,Conversion to  forest  of land that historically has not contained forests. [Note: For a discussion ,reforestation,  Reforestation  Conversion to  forest  of  land  that has previously contained forests but that has
afforestation,Conversion to  forest  of land that historically has not contained forests. [Note: For a discussion ,forest,  Forest  A vegetation type dominated by trees. Many definitions of the term forest are in use throu
agreement,"In this report, the degree of agreement within the scientific body of knowledge on a particular find",evidence,  Evidence  Data and information used in the scientific process to establish findings. In this repor
aicontext_of_national,"greenhouse gas (GHG)  inventories under the  United Nations Convention on Climate Change (UNFCCC) , ",greenhouse_gas__ghg_,"  Greenhouse gas (GHG)  Gaseous constituents of the  atmosphere , both natural and  anthropogenic , "
aicontext_of_national,"greenhouse gas (GHG)  inventories under the  United Nations Convention on Climate Change (UNFCCC) , ",co,  CO 2 equivalent (CO 2 -eq) emission  The amount of  carbon dioxide  ( CO 2 ) emission that would c
aicontext_of_national,"greenhouse gas (GHG)  inventories under the  United Nations Convention on Climate Change (UNFCCC) , ",co,  CO 2 fertilisation  The enhancement of plant growth as a result of increased atmospheric  carbon d
air_pollution,"Degradation of air quality with negative effects on human health, the natural or built environment, ",atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
anomaly,The deviation of a variable from its value averaged over a  reference period . See also  Reference p,reference_period,  Reference period  The period relative to which  anomalies  are computed. See also  Anomalies .
anomaly,The deviation of a variable from its value averaged over a  reference period . See also  Reference p,reference_period,  Reference period  The period relative to which  anomalies  are computed. See also  Anomalies .
anthromes,"‘ Human systems , with natural  ecosystems  embedded within them’ (Ellis and Ramankutty 2008). The a",land_use,"  Land use   The total of arrangements, activities and inputs applied to a parcel of land. The term "
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,climate_system,"  Climate system  The system consisting of five major components: the  atmosphere , the hydrosphere,"
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,evidence,  Evidence  Data and information used in the scientific process to establish findings. In this repor
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,holocene,"  Holocene  The current interglacial geological epoch, the second of two epochs within the Quaternar"
anthropocene,A proposed new geological epoch resulting from significant human-driven changes to the structure and,holocene,"  Holocene  The current interglacial geological epoch, the second of two epochs within the Quaternar"
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers — the  troposphere  which conta",troposphere,"  Troposphere  The lowest part of the  atmosphere , from the surface to about 10 km in altitude at m"
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers — the  troposphere  which conta",stratosphere,  Stratosphere  The highly stratified region of the  atmosphere  above the  troposphere  extending f
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers — the  troposphere  which conta",carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers — the  troposphere  which conta",ozone__o,"  Ozone (O 3 )  The triatomic form of oxygen (O 3 ). In the  troposphere , it is created both natura"
atmosphere,"The gaseous envelope surrounding the Earth, divided into five layers — the  troposphere  which conta",carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
baseline_scenario,In much of the literature the term is also synonymous with the term business-as-usual (BAU)  scenari,scenario,  Scenario  A plausible description of how the future may develop based on a coherent and internally
baseline_scenario,In much of the literature the term is also synonymous with the term business-as-usual (BAU)  scenari,transformation_pathways,  Transformation pathways  See  Pathways .
baseline_scenario,In much of the literature the term is also synonymous with the term business-as-usual (BAU)  scenari,greenhouse_gas__ghg_,"  Greenhouse gas (GHG)  Gaseous constituents of the  atmosphere , both natural and  anthropogenic , "
biochar,"Relatively stable, carbon-rich material produced by heating  biomass  in an oxygen-limited environme",biomass,  Biomass  Organic material excluding the material that is fossilised or embedded in geological form
biochar,"Relatively stable, carbon-rich material produced by heating  biomass  in an oxygen-limited environme",greenhouse_gas__ghg_,"  Greenhouse gas (GHG)  Gaseous constituents of the  atmosphere , both natural and  anthropogenic , "
bioenergy,Energy derived from any form of biomass or its metabolic by-products. See also  Biomass  and  Biofue,biomass,  Biomass  Organic material excluding the material that is fossilised or embedded in geological form
bioenergy_with_carbon_dioxide_capture_and_storage__beccs_,Carbon dioxide capture and storage (CCS)  technology applied to a  bioenergy  facility. Note that de,carbon_dioxide_capture_and_storage__ccs_,  Carbon dioxide capture and storage (CCS)  A process in which a relatively pure stream of  carbon d
bioenergy_with_carbon_dioxide_capture_and_storage__beccs_,Carbon dioxide capture and storage (CCS)  technology applied to a  bioenergy  facility. Note that de,bioenergy,  Bioenergy  Energy derived from any form of biomass or its metabolic by-products. See also  Biomass
bioenergy_with_carbon_dioxide_capture_and_storage__beccs_,Carbon dioxide capture and storage (CCS)  technology applied to a  bioenergy  facility. Note that de,carbon_dioxide__co,"  Carbon dioxide (CO 2 )  A naturally occurring gas, CO 2 is also a by-product of burning  fossil fu"
bioenergy_with_carbon_dioxide_capture_and_storage__beccs_,Carbon dioxide capture and storage (CCS)  technology applied to a  bioenergy  facility. Note that de,atmosphere,"  Atmosphere  The gaseous envelope surrounding the Earth, divided into five layers — the  tropospher"
biofuel,"A fuel, generally in liquid form, produced from  biomass . Biofuels include bioethanol from sugarcan",biomass,  Biomass  Organic material excluding the material that is fossilised or embedded in geological form
