anchor,a_text,target,t_text
abrupt_change,A change in the system that is substantially faster than the typical rate of the changes in its hist,abrupt_climate_change,  Abrupt climate change A large-scale  abrupt change  in the  climate system  that takes place over 
abrupt_change,A change in the system that is substantially faster than the typical rate of the changes in its hist,tipping_point,"  Tipping point A critical threshold beyond which a system reorganises, often abruptly and/or irreve"
abrupt_climate_change,"A large-scale  abrupt change  in the  climate system  that takes place over a few decades or less, p",abrupt_change,  Abrupt change A change in the system that is substantially faster than the typical rate of the cha
abrupt_climate_change,"A large-scale  abrupt change  in the  climate system  that takes place over a few decades or less, p",climate_system,"  Climate system The global system consisting of five major components: the  atmosphere , the hydros"
abrupt_climate_change,"A large-scale  abrupt change  in the  climate system  that takes place over a few decades or less, p",impacts,"  Impacts The consequences of realised  risks  on  natural  and  human systems , where  risks  resul"
abrupt_climate_change,"A large-scale  abrupt change  in the  climate system  that takes place over a few decades or less, p",natural_systems,"  Natural systems The dynamic physical, physicochemical and biological components of "
abrupt_climate_change,"A large-scale  abrupt change  in the  climate system  that takes place over a few decades or less, p",tipping_point,"  Tipping point A critical threshold beyond which a system reorganises, often abruptly and/or irreve"
abrupt_climate_change,"A large-scale  abrupt change  in the  climate system  that takes place over a few decades or less, p",abrupt_change,  Abrupt change A change in the system that is substantially faster than the typical rate of the cha
access_to_food,See  Access  under  Food security .,food_security,"  Food security A situation that exists when all people, at all times, have physical, social and eco"
acclimatisation,"A change in functional or morphological traits occurring once or repeatedly (e.g., seasonally) durin",acclimatisation,"  Acclimatisation A change in functional or morphological traits occurring once or repeatedly (e.g.,"
acclimatisation,"A change in functional or morphological traits occurring once or repeatedly (e.g., seasonally) durin",acclimatisation,"  Acclimatisation A change in functional or morphological traits occurring once or repeatedly (e.g.,"
accumulation__of_glaciers__ice_sheets_or_snow_cover_,"All processes that add to the mass of a  glacier , an  ice sheet , or snow cover. The main process o",glacier,"  Glacier A perennial mass of ice, and possibly firn and snow, originating on the  land  surface by "
accumulation__of_glaciers__ice_sheets_or_snow_cover_,"All processes that add to the mass of a  glacier , an  ice sheet , or snow cover. The main process o",ice_sheet,"  Ice sheet An ice body originating on  land  that covers an area of continental size, generally def"
adaptation_deficit,The gap between the current state of a system and a state that minimises adverse  impacts  from exis,impacts,"  Impacts The consequences of realised  risks  on  natural  and  human systems , where  risks  resul"
