keyword/phrase,score,POS
anthropogenic,2.625,ADJ
ghg,2.593984962406015,NOUN
budget,2.5833333333333335,NOUN
emission,2.523076923076923,NOUN
supply,2.5185185185185186,NOUN
global,2.5080645161290325,ADJ
co2eq,2.5,PROPN
total,2.5,ADJ
final,2.5,ADJ
labour,2.5,NOUN
power,2.4516129032258065,NOUN
fuel,2.45,NOUN
sustained,2.4444444444444446,ADJ
future,2.44,ADJ
pollution,2.4285714285714284,NOUN
environmental,2.4166666666666665,ADJ
intensity,2.4,NOUN
direct,2.4,ADJ
related,2.388888888888889,ADJ
service,2.375,NOUN
urban,2.3548387096774195,ADJ
co2,2.3523809523809525,NOUN
constant,2.3333333333333335,ADJ
persistent,2.3333333333333335,ADJ
model,2.3333333333333335,NOUN
public,2.3333333333333335,ADJ
temperature,2.3333333333333335,NOUN
integrated,2.3333333333333335,ADJ
infrastructure,2.3142857142857145,NOUN
climate,2.3088235294117645,NOUN
research,2.3,NOUN
space,2.2857142857142856,NOUN
bookkeeping,2.2857142857142856,NOUN
technological,2.28,ADJ
mitigation,2.2790697674418605,NOUN
efficiency,2.272727272727273,NOUN
household,2.269230769230769,NOUN
average,2.2666666666666666,ADJ
centre,2.25,NOUN
storage,2.25,NOUN
clean,2.25,ADJ
ambition,2.25,NOUN
improvement,2.25,NOUN
generally,2.25,ADV
positive,2.25,ADJ
transfer,2.25,NOUN
capacity,2.25,NOUN
frequently,2.25,ADV
activity,2.2222222222222223,NOUN
renewable,2.2222222222222223,ADJ
regional,2.210526315789474,ADJ
rapidly,2.2,ADV
nuclear,2.2,ADJ
passenger,2.2,NOUN
similar,2.2,ADJ
system,2.1875,NOUN
individual,2.1818181818181817,ADJ
road,2.1818181818181817,NOUN
indirect,2.1666666666666665,ADJ
slightly,2.1666666666666665,ADV
car,2.1666666666666665,NOUN
efficient,2.1666666666666665,ADJ
effective,2.1666666666666665,ADJ
key,2.142857142857143,ADJ
pbe,2.142857142857143,NOUN
expansion,2.142857142857143,NOUN
decarbonisation,2.142857142857143,NOUN
action,2.142857142857143,NOUN
rapid,2.130434782608696,ADJ
energy,2.1278195488721803,NOUN
growth,2.1058823529411765,NOUN
social,2.1052631578947367,ADJ
technology,2.1,NOUN
net,2.1,ADJ
transition,2.090909090909091,NOUN
economic,2.088235294117647,ADJ
trend,2.0833333333333335,NOUN
national,2.0833333333333335,ADJ
high,2.0784313725490198,ADJ
specific,2.076923076923077,ADJ
transport,2.075,NOUN
potential,2.066666666666667,ADJ
development,2.0588235294117645,NOUN
metric,2.0588235294117645,ADJ
rate,2.0454545454545454,NOUN
jan,2.0,NOUN
uncertainty,2.0,NOUN
attributable,2.0,ADJ
past,2.0,ADV
knowledge,2.0,NOUN
fast,2.0,ADV
comprehensive,2.0,ADJ
true,2.0,ADJ
green,2.0,ADJ
management,2.0,NOUN
response,2.0,NOUN
roughly,2.0,ADV
balance,2.0,NOUN
input,2.0,NOUN
target,2.0,NOUN
distributional,2.0,ADJ
structure,2.0,NOUN
decomposition,2.0,NOUN
eastern,2.0,ADJ
mix,2.0,NOUN
control,2.0,NOUN
agricultural,2.0,ADJ
dietary,2.0,ADJ
design,2.0,NOUN
heterogeneous,2.0,ADJ
provision,2.0,NOUN
mobility,2.0,NOUN
diffusion,2.0,NOUN
bottom,2.0,NOUN
people,2.0,NOUN
negative,2.0,ADJ
identity,2.0,NOUN
short,2.0,ADJ
wealthy,2.0,ADJ
behavioural,2.0,ADJ
static,2.0,ADJ
upstream,2.0,ADV
frequent,2.0,ADJ
delay,2.0,NOUN
gross,2.0,ADJ
minimum,2.0,ADJ
