,source,target
0,id2415,15.2.3
1,id2415,15.2.4
2,id2415,15.3.1
3,id2415,15.3.2.2
4,id2415,15.3.3
5,id2415,15.4.1
6,id2415,15.4.2
7,id2415,15.4.3
8,id2415,15.5.2
9,id2415,15.6
10,id2415,15.6.2
11,id2415,15.6.4
12,id2415,15.6.5
13,id2415,15.6.6
14,id2415,15.6.7
15,id2415,15.6.8.2
16,id2418,15.2
17,id2418,15.6.3
18,id2441,15.2
19,id2441,15.6
20,id2467,15.3
21,id2479,15.3
22,id2489,15.2
23,id2489,15.3
24,id2629,15.4
25,id2629,15.5
26,id2645,15.4.1
27,id2645,15.5.2
28,id2657,15.6
29,id2678,15.6.1
30,id2678,15.6.2
31,id2687,15.2
32,id2687,15.3.2.3
33,id2687,15.5.2
34,id2687,15.6.1
35,id2687,15.6.7
36,id2699,15.2
37,id2699,15.6.1
38,id2699,15.6.2
39,id2789,15.2
40,id2789,15.3.2.3
41,id2789,15.5.2
42,id2789,15.6.1
43,id2789,15.6.7
44,id2795,15.2
45,id2795,15.3.3
46,id2795,15.6.1
47,id2795,15.6.2
48,id2795,15.6.3
49,id2807,15.1
50,id2807,15.2.4
51,id2807,15.3.1
52,id2807,15.3.2
53,id2807,15.3.3
54,id2807,15.5.2
55,id2807,15.6.1
56,id2807,15.6.2
57,id2807,15.6.6
58,id2807,15.6.7
59,id2807,15.6.8
60,id2849,15.2.3
61,id2849,15.2.4
62,id2849,15.3.1
63,id2849,15.3.2.2
64,id2849,15.3.3
65,id2849,15.4.1
66,id2849,15.4.2
67,id2849,15.4.3
68,id2849,15.5.2
69,id2849,15.6
70,id2849,15.6.2
71,id2849,15.6.4
72,id2849,15.6.5
73,id2849,15.6.6
74,id2849,15.6.7
75,id2849,15.6.8.2
