Annexes,,Q194465,acquisition of a state's territory by another state,"['Q194465', 'Q43879252', 'Q64477101', 'Q64474354', 'Q64529981']"
SPM,,Q522508,2007 video game,"['Q522508', 'Q656939', 'Q41567941', 'Q26242172', 'Q879634']"
Coordinating Editors: ,,Q329316,1985 American animated dark fantasy adventure film,"['Q329316', 'Q706364', 'Q47477028', 'Q47462241', 'Q47414924']"
Editorial Team: ,,Q55449538,Editorial Board,"['Q55449538', 'Q10995373', 'Q15869559', 'Q66764266', 'Q33129403']"
Note: ,,Q1834,Japanese manga series,"['Q1834', 'Q47433', 'Q885833', 'Q43013', 'Q263478']"
This chapter should be cited as:,,,,
AI,,Q11660,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents,"['Q11660', 'Q160115', 'Q42970', 'Q25228', 'Q12094']"
AI,,Q11660,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents,"['Q11660', 'Q160115', 'Q42970', 'Q25228', 'Q12094']"
Acceptability of policy or system change ,,,,
Access to modern energy services ,,Q57733423,,"['Q57733423', 'Q114163873', 'Q1341244']"
Adaptation ,,Q352431,2002 film directed by Spike Jonze,"['Q352431', 'Q3331189', 'Q483921', 'Q15752938', 'Q15763330']"
Adaptation options ,,Q58345073,scholarly article by M.G. Rivera-Ferre et al published 25 July 2016 in Wiley Interdisciplinary Reviews: WIREs Climate Change,"['Q58345073', 'Q58079890', 'Q57161163', 'Q58261024', 'Q33481724']"
Adaptation pathways ,,Q30993725,scientific article,"['Q30993725', 'Q57094881', 'Q60492908', 'Q63884646', 'Q64214011']"
Adaptive capacity ,,Q37691717,scientific article published on 16 January 2014,"['Q37691717', 'Q112910880', 'Q112882797', 'Q112910250', 'Q112884987']"
Adaptive governance ,,Q28648108,scientific article,"['Q28648108', 'Q59267361', 'Q58069550', 'Q36067816', 'Q56776803']"
Additionality ,,Q216935,chemical compound,"['Q216935', 'Q422244', 'Q645858', 'Q1030095', 'Q752276']"
Aerosol ,,Q104541,"colloid of fine solid particles or liquid droplets, in air or another gas","['Q104541', 'Q28484189', 'Q3176391', 'Q170477', 'Q21260660']"
Afforestation ,,Q2384419,establishment of a forest or stand of trees in an area where there was no previous tree cover,"['Q2384419', 'Q51438324', 'Q51438328', 'Q51438323', 'Q113654105']"
Agreement ,,Q898840,1947 film by Elia Kazan,"['Q898840', 'Q93288', 'Q131569', 'Q21707860', 'Q50822331']"
"Agriculture, Forestry and Other Land Use ",AFOLU) ,Q30793578,scientific article,"['Q30793578', 'Q30884133', 'Q90330714', 'Q90259978', 'Q58178613']"
